eval_id,query_id,tag,arms,intensity,band_pct,intensity_target
1,Q6,poppin_party__409,arm3,0.2975,0.2,0.2
2,Q7,hello_happy_world__140,arm3,0.6496,0.5139,0.5
3,Q6,poppin_party__466,arm1|arm2,0.1984,0.0783,0.2
4,Q7,pastel_palettes__369,arm1,0.5029,0.2162,0.5
5,Q4,various_artists__104,arm3,0.5668,1.0,1.0
6,Q5,raise_a_suilen__533,arm2,0.9388,0.9114,1.0
7,Q1,mygo__267,arm2|arm3,0.0864,0.0909,0.0
8,Q5,raise_a_suilen__490,arm2,0.9619,0.9747,1.0
9,Q7,poppin_party__423,arm1|arm2,0.5008,0.4696,0.5
10,Q1,mygo__281,arm1,0.0515,0.0682,0.0
11,Q8,roselia__623,arm1,0.3997,0.3371,0.4
12,Q3,raise_a_suilen__568,arm3,0.151,0.0253,0.0
13,Q4,pastel_palettes__318,arm2,0.9439,0.9595,1.0
14,Q8,afterglow__015,arm1,0.3956,0.2222,0.4
15,Q5,various_artists__104,arm3,0.5668,1.0,1.0
16,Q8,afterglow__037,arm2,0.4054,0.2361,0.4
17,Q8,mygo__278,arm3,0.2921,0.4091,0.4
18,Q8,poppin_party__447,arm3,0.434,0.3826,0.4
19,Q8,raise_a_suilen__560,arm3,0.6644,0.3924,0.4
20,Q2,raise_a_suilen__557,arm1,0.4865,0.1392,0.5
21,Q2,raise_a_suilen__542,arm3,0.7256,0.557,0.5
22,Q2,raise_a_suilen__514,arm2,0.6064,0.2532,0.5
23,Q1,mygo__288,arm1|arm2|arm3,0.0493,0.0455,0.0
24,Q3,ave_mujica__093,arm1|arm2,0.0222,0.0345,0.0
25,Q8,afterglow__060,arm2,0.4066,0.25,0.4
26,Q4,raise_a_suilen__491,arm1|arm2|arm3,0.9932,1.0,1.0
27,Q7,pastel_palettes__371,arm3,0.7067,0.5,0.5
28,Q3,pastel_palettes__343,arm2|arm3,0.1372,0.027,0.0
29,Q2,raise_a_suilen__555,arm3,0.6965,0.481,0.5
30,Q6,poppin_party__427,arm1|arm2,0.1987,0.087,0.2
31,Q3,ave_mujica__091,arm1,0.0229,0.069,0.0
32,Q1,mygo__660,arm2|arm3,0.1685,0.1364,0.0
33,Q8,ave_mujica__072,arm1,0.4028,0.5172,0.4
34,Q5,raise_a_suilen__491,arm1|arm2|arm3,0.9932,1.0,1.0
35,Q2,raise_a_suilen__528,arm1,0.5102,0.1519,0.5
36,Q6,pastel_palettes__312,arm3,0.4806,0.2027,0.2
37,Q7,roselia__594,arm2|arm3,0.4952,0.5056,0.5
38,Q8,roselia__585,arm2,0.3954,0.3258,0.4
39,Q4,mugendai_mutype__257,arm1,0.9899,1.0,1.0
40,Q5,afterglow__005,arm3,0.8748,0.9861,1.0
41,Q1,mygo__272,arm1,0.0425,0.0227,0.0
42,Q2,raise_a_suilen__521,arm2,0.5669,0.2025,0.5
43,Q7,morfonica__194,arm1,0.4997,0.6316,0.5
44,Q5,pastel_palettes__368,arm1,0.9879,1.0,1.0
45,Q5,mugendai_mutype__257,arm1,0.9899,1.0,1.0
46,Q7,roselia__615,arm2,0.4957,0.5169,0.5
47,Q6,raise_a_suilen__521,arm3,0.5669,0.2025,0.2
48,Q2,raise_a_suilen__522,arm3,0.6766,0.4304,0.5
49,Q3,ave_mujica__087,arm1,0.0243,0.1034,0.0
50,Q2,raise_a_suilen__567,arm2,0.4781,0.1266,0.5
51,Q6,morfonica__189,arm1|arm2,0.1993,0.0526,0.2
52,Q2,raise_a_suilen__556,arm1,0.5208,0.1646,0.5
53,Q3,raise_a_suilen__544,arm2|arm3,0.0702,0.0127,0.0
54,Q4,pastel_palettes__368,arm1|arm2|arm3,0.9879,1.0,1.0
