direction,target,role,n,r2_kfold,r2_groupkfold,gap
desc_emb -> acoustic,intensity,verified,661,0.0402,-0.0158,0.0559
desc_emb -> acoustic,energy_full,verified,661,0.0531,-0.0692,0.1223
desc_emb -> acoustic,i_mean,verified,661,0.0354,-0.0267,0.0622
desc_emb -> acoustic,i_std,verified,661,0.0453,-0.0566,0.1019
desc_emb -> acoustic,i_min,verified,661,0.038,-0.035,0.073
desc_emb -> acoustic,i_max,verified,661,0.0474,-0.0829,0.1304
desc_emb -> acoustic,i_start,verified,661,0.022,-0.0364,0.0584
desc_emb -> acoustic,i_end,verified,661,0.0126,-0.0262,0.0388
desc_emb -> acoustic,mode_score,verified,661,0.0663,0.0115,0.0548
desc_emb -> acoustic,bpm,verified,661,0.0156,-0.0043,0.0199
desc_emb -> acoustic,acousticness_proxy,exploratory,661,0.0588,-0.0006,0.0594
desc_emb -> acoustic,instrumentalness_proxy,exploratory,661,0.0055,-0.0192,0.0247
desc_emb -> acoustic,cen_mean,librosa_direct,661,0.0221,-0.0642,0.0863
desc_emb -> acoustic,cen_p90,librosa_direct,661,0.0146,-0.0799,0.0945
desc_emb -> acoustic,roll_mean,librosa_direct,661,0.0417,-0.048,0.0897
desc_emb -> acoustic,roll_p90,librosa_direct,661,0.0319,-0.0447,0.0766
desc_emb -> acoustic,bw_mean,librosa_direct,661,0.0513,-0.0359,0.0871
desc_emb -> acoustic,bw_p90,librosa_direct,661,0.0446,-0.0301,0.0747
desc_emb -> acoustic,flat_mean,librosa_direct,661,0.0313,-0.0236,0.0549
desc_emb -> acoustic,flat_p90,librosa_direct,661,0.0336,-0.0409,0.0745
desc_emb -> acoustic,contrast_mean,librosa_direct,661,0.1126,0.0412,0.0714
desc_emb -> acoustic,contrast_p90,librosa_direct,661,0.0772,0.0064,0.0708
desc_emb -> acoustic,zcr_mean,librosa_direct,661,0.0189,-0.0446,0.0635
desc_emb -> acoustic,zcr_p90,librosa_direct,661,0.0072,-0.1033,0.1105
desc_emb -> acoustic,perc_mean,librosa_direct,661,0.0946,-0.0919,0.1865
desc_emb -> acoustic,perc_p90,librosa_direct,661,0.0839,-0.1114,0.1953
desc_emb -> acoustic,perc_p95,librosa_direct,661,0.075,-0.1121,0.1872
desc_emb -> acoustic,onset_mean,librosa_direct,661,0.0467,-0.0577,0.1044
desc_emb -> acoustic,onset_p90,librosa_direct,661,0.0454,-0.0821,0.1275
desc_emb -> acoustic,onset_rate,librosa_direct,661,0.0265,-0.0376,0.0641
desc_emb -> acoustic,rms_mean,librosa_direct,661,0.0239,-0.0983,0.1222
desc_emb -> acoustic,rms_p90,librosa_direct,661,0.0376,-0.0715,0.1091
desc_emb -> acoustic,energy,negative_control,658,0.0067,-0.083,0.0897
desc_emb -> acoustic,energy_proxy,negative_control,661,0.023,-0.0212,0.0442
acoustic -> lyr_axis,lyr_valence,emotion_axis,661,0.0893,0.0054,0.0838
acoustic -> lyr_axis,lyr_arousal,emotion_axis,661,0.0256,-0.0104,0.036
